'72' (Ряд 22, Шкаф 51, Позиция 1)
'90' (Ряд 40, Шкаф 15, Позиция 6)
'103' (Ряд 48, Шкаф 38, Позиция 8)
'361' (Ряд 49, Шкаф 46, Позиция 8)
'417' (Ряд 51, Шкаф 27, Позиция 4)
'501' (Ряд 12, Шкаф 47, Позиция 4)
'589' (Ряд 5, Шкаф 12, Позиция 13)
'745' (Ряд 48, Шкаф 17, Позиция 14)
'783' (Ряд 35, Шкаф 53, Позиция 16)
'868' (Ряд 47, Шкаф 29, Позиция 14)
'917' (Ряд 43, Шкаф 28, Позиция 14)
'978' (Ряд 53, Шкаф 26, Позиция 4)
'988' (Ряд 43, Шкаф 43, Позиция 9)
'1013' (Ряд 34, Шкаф 5, Позиция 6)
'1058' (Ряд 14, Шкаф 12, Позиция 3)
'1085' (Ряд 9, Шкаф 12, Позиция 14)
'1111' (Ряд 45, Шкаф 29, Позиция 3)
'1116' (Ряд 10, Шкаф 31, Позиция 7)
'1223' (Ряд 44, Шкаф 10, Позиция 9)
'1355' (Ряд 7, Шкаф 26, Позиция 12)
'1406' (Ряд 3, Шкаф 40, Позиция 7)
'1498' (Ряд 1, Шкаф 11, Позиция 16)
'1668' (Ряд 53, Шкаф 8, Позиция 6)
'1689' (Ряд 29, Шкаф 28, Позиция 2)
'1813' (Ряд 41, Шкаф 24, Позиция 6)
'1836' (Ряд 17, Шкаф 11, Позиция 12)
'1887' (Ряд 12, Шкаф 24, Позиция 3)
'1890' (Ряд 2, Шкаф 25, Позиция 15)
'1949' (Ряд 26, Шкаф 15, Позиция 11)
'2003' (Ряд 7, Шкаф 43, Позиция 12)
'2063' (Ряд 33, Шкаф 27, Позиция 3)
'2074' (Ряд 40, Шкаф 5, Позиция 15)
'2095' (Ряд 8, Шкаф 43, Позиция 1)
'2151' (Ряд 11, Шкаф 21, Позиция 7)
'2205' (Ряд 6, Шкаф 33, Позиция 8)
'2292' (Ряд 7, Шкаф 48, Позиция 2)
'2438' (Ряд 31, Шкаф 18, Позиция 8)
'2570' (Ряд 10, Шкаф 18, Позиция 15)
'2593' (Ряд 7, Шкаф 49, Позиция 4)
'2596' (Ряд 32, Шкаф 24, Позиция 6)
'2633' (Ряд 25, Шкаф 36, Позиция 9)
'2681' (Ряд 12, Шкаф 41, Позиция 16)
'2686' (Ряд 15, Шкаф 27, Позиция 9)
'2867' (Ряд 44, Шкаф 2, Позиция 13)
'2904' (Ряд 44, Шкаф 13, Позиция 16)
'3110' (Ряд 19, Шкаф 23, Позиция 14)
'3145' (Ряд 36, Шкаф 23, Позиция 3)
'3212' (Ряд 23, Шкаф 53, Позиция 3)
'3268' (Ряд 7, Шкаф 29, Позиция 15)
'3327' (Ряд 12, Шкаф 2, Позиция 6)
'3337' (Ряд 25, Шкаф 31, Позиция 1)
'3453' (Ряд 1, Шкаф 2, Позиция 6)
'3559' (Ряд 17, Шкаф 3, Позиция 3)
'3604' (Ряд 11, Шкаф 6, Позиция 15)
'3666' (Ряд 53, Шкаф 4, Позиция 8)
'3670' (Ряд 1, Шкаф 5, Позиция 2)
'3686' (Ряд 53, Шкаф 32, Позиция 8)
'3811' (Ряд 22, Шкаф 53, Позиция 9)
'3867' (Ряд 4, Шкаф 18, Позиция 15)
'3996' (Ряд 33, Шкаф 26, Позиция 12)
'4123' (Ряд 35, Шкаф 1, Позиция 13)
'4555' (Ряд 34, Шкаф 22, Позиция 5)
'4573' (Ряд 22, Шкаф 46, Позиция 6)
'4608' (Ряд 51, Шкаф 10, Позиция 2)
'4615' (Ряд 37, Шкаф 45, Позиция 10)
'4801' (Ряд 3, Шкаф 6, Позиция 10)
'4802' (Ряд 49, Шкаф 8, Позиция 8)
'4963' (Ряд 46, Шкаф 18, Позиция 2)
'5114' (Ряд 10, Шкаф 7, Позиция 8)
'5129' (Ряд 34, Шкаф 23, Позиция 2)
'5150' (Ряд 17, Шкаф 8, Позиция 5)
'5176' (Ряд 11, Шкаф 39, Позиция 4)
'5215' (Ряд 16, Шкаф 26, Позиция 7)
'5232' (Ряд 18, Шкаф 14, Позиция 1)
'5400' (Ряд 5, Шкаф 42, Позиция 14)
'5405' (Ряд 11, Шкаф 34, Позиция 14)
'5474' (Ряд 42, Шкаф 14, Позиция 7)
'5689' (Ряд 18, Шкаф 24, Позиция 16)
'5823' (Ряд 22, Шкаф 3, Позиция 4)
'5851' (Ряд 8, Шкаф 14, Позиция 15)
'5919' (Ряд 15, Шкаф 1, Позиция 14)
'6128' (Ряд 29, Шкаф 40, Позиция 10)
'6135' (Ряд 17, Шкаф 37, Позиция 5)
'6793' (Ряд 8, Шкаф 13, Позиция 15)
'6799' (Ряд 38, Шкаф 39, Позиция 12)
'6860' (Ряд 20, Шкаф 3, Позиция 11)
'6890' (Ряд 24, Шкаф 16, Позиция 12)
'6903' (Ряд 43, Шкаф 37, Позиция 6)
'7016' (Ряд 45, Шкаф 19, Позиция 5)
'7074' (Ряд 24, Шкаф 18, Позиция 11)
'7228' (Ряд 48, Шкаф 20, Позиция 12)
'7276' (Ряд 51, Шкаф 12, Позиция 10)
'7285' (Ряд 18, Шкаф 27, Позиция 2)
'7290' (Ряд 34, Шкаф 17, Позиция 2)
'7450' (Ряд 32, Шкаф 38, Позиция 2)
'7557' (Ряд 36, Шкаф 41, Позиция 4)
'7584' (Ряд 8, Шкаф 13, Позиция 11)
'7719' (Ряд 44, Шкаф 38, Позиция 14)
'7771' (Ряд 10, Шкаф 40, Позиция 13)
'7824' (Ряд 21, Шкаф 37, Позиция 8)
'7869' (Ряд 38, Шкаф 7, Позиция 2)
'8131' (Ряд 40, Шкаф 32, Позиция 15)
'8204' (Ряд 4, Шкаф 17, Позиция 8)
'8214' (Ряд 4, Шкаф 10, Позиция 5)
'8231' (Ряд 40, Шкаф 25, Позиция 3)
'8244' (Ряд 1, Шкаф 43, Позиция 10)
'8325' (Ряд 38, Шкаф 41, Позиция 5)
'8505' (Ряд 43, Шкаф 40, Позиция 8)
'8524' (Ряд 41, Шкаф 44, Позиция 8)
'8565' (Ряд 4, Шкаф 34, Позиция 13)
'8586' (Ряд 27, Шкаф 11, Позиция 10)
'8613' (Ряд 52, Шкаф 36, Позиция 3)
'8646' (Ряд 4, Шкаф 44, Позиция 6)
'8672' (Ряд 11, Шкаф 23, Позиция 16)
'8749' (Ряд 30, Шкаф 36, Позиция 4)
'8787' (Ряд 29, Шкаф 36, Позиция 9)
'8891' (Ряд 27, Шкаф 15, Позиция 7)
'8920' (Ряд 13, Шкаф 46, Позиция 13)
'8975' (Ряд 29, Шкаф 32, Позиция 7)
'9086' (Ряд 48, Шкаф 29, Позиция 14)
'9091' (Ряд 10, Шкаф 26, Позиция 8)
'9275' (Ряд 48, Шкаф 48, Позиция 3)
'9336' (Ряд 37, Шкаф 19, Позиция 11)
'9361' (Ряд 34, Шкаф 50, Позиция 1)
'9578' (Ряд 10, Шкаф 39, Позиция 3)
'9580' (Ряд 36, Шкаф 44, Позиция 9)
'9734' (Ряд 32, Шкаф 18, Позиция 7)
'9884' (Ряд 31, Шкаф 31, Позиция 10)
'9946' (Ряд 40, Шкаф 30, Позиция 7)
'9971' (Ряд 35, Шкаф 14, Позиция 3)
'10251' (Ряд 23, Шкаф 51, Позиция 15)
'10406' (Ряд 2, Шкаф 48, Позиция 1)
'10504' (Ряд 7, Шкаф 27, Позиция 16)
'10587' (Ряд 34, Шкаф 29, Позиция 14)
'10681' (Ряд 39, Шкаф 34, Позиция 7)
'10850' (Ряд 2, Шкаф 17, Позиция 8)
